frame_id,conf,x1,y1,x2,y2,foot_x,foot_y,court_x,court_y,zone
0,0.8618523478507996,989.876708984375,388.64263916015625,1116.552978515625,579.5078125,1053,579,3.79917573928833,8.262015342712402,near
0,0.7475107908248901,944.0632934570312,263.36474609375,1035.2750244140625,471.10723876953125,989,471,3.301995038986206,5.008775234222412,far
5,0.8384295701980591,988.7921142578125,387.2344055175781,1110.3631591796875,583.3273315429688,1049,583,3.7623090744018555,8.364322662353516,near
5,0.7548366189002991,946.7901611328125,283.1913146972656,1039.8365478515625,476.03533935546875,993,476,3.338797092437744,5.184126853942871,far
10,0.8247569799423218,988.40771484375,385.13348388671875,1110.1207275390625,584.5926513671875,1049,584,3.761380672454834,8.389697074890137,near
10,0.7713277339935303,945.80859375,288.5011291503906,1048.6195068359375,492.758544921875,997,492,3.369931221008301,5.726884365081787,far
15,0.7832255363464355,946.3151245117188,288.1337890625,1047.5147705078125,457.19207763671875,996,457,3.376798391342163,4.502796173095703,far
15,0.7629631757736206,978.2704467773438,384.9644470214844,1099.74853515625,580.8754272460938,1039,580,3.682387590408325,8.288080215454102,near
20,0.7658360600471497,932.3197631835938,273.1351623535156,1042.222412109375,458.3514709472656,987,458,3.286924123764038,4.5395331382751465,far
20,0.7534782290458679,975.478515625,387.74029541015625,1089.5404052734375,576.7192993164062,1032,576,3.6274709701538086,8.185240745544434,near
25,0.7814778089523315,950.9112548828125,392.3746337890625,1069.1727294921875,578.3358764648438,1010,578,3.4433794021606445,8.237544059753418,near
25,0.7546805739402771,909.9371948242188,266.6697998046875,1004.5975952148438,469.0546875,957,469,2.990347146987915,4.937427997589111,far
30,0.7901862263679504,941.874267578125,391.8686218261719,1060.960205078125,578.1778564453125,1001,578,3.3686561584472656,8.23780632019043,near
30,0.7060933113098145,905.1267700195312,266.82830810546875,992.583251953125,437.74700927734375,948,437,2.8930442333221436,3.7367358207702637,far
35,0.8182433843612671,921.7571411132812,387.9976501464844,1040.83544921875,580.6021728515625,981,580,3.2022006511688232,8.289798736572266,near
35,0.7196370959281921,873.0791015625,295.2490234375,966.1509399414062,493.8730773925781,919,493,2.6359806060791016,5.7597856521606445,far
40,0.7985316514968872,891.7613525390625,388.651123046875,1013.4595336914062,586.6170654296875,952,586,2.962775945663452,8.443272590637207,near
40,0.6536582708358765,826.9133911132812,319.4024658203125,938.6876220703125,501.747802734375,882,501,2.297116756439209,6.020750999450684,far
45,0.7627824544906616,812.2100830078125,336.8431396484375,922.7593383789062,497.5130310058594,867,497,2.1518125534057617,5.891043186187744,far
45,0.7619608044624329,866.47998046875,415.6842346191406,996.8817138671875,577.81005859375,931,577,2.786513566970825,8.214018821716309,near
50,0.7302485704421997,809.3515625,329.9754333496094,933.2529907226562,498.38055419921875,871,498,2.19064998626709,5.923624515533447,far
50,0.7108487486839294,864.4905395507812,419.9609680175781,986.6624145507812,577.55224609375,925,577,2.736534357070923,8.214192390441895,near
55,0.7554391026496887,814.1904296875,296.12591552734375,938.88134765625,485.4681396484375,876,485,2.2203471660614014,5.492127418518066,far
55,0.7242985963821411,842.925048828125,414.5438232421875,975.8696899414062,569.556884765625,909,569,2.5979881286621094,8.005433082580566,near
60,0.7492159008979797,840.9898681640625,432.36297607421875,948.482177734375,572.1531372070312,894,572,2.4740724563598633,8.084843635559082,near
60,0.7332532405853271,817.48095703125,284.6678771972656,941.7333374023438,478.362548828125,879,478,2.2398111820220947,5.25245475769043,far
65,0.783932626247406,826.768798828125,287.054931640625,939.6600952148438,483.61212158203125,883,483,2.284667491912842,5.424224376678467,far
65,0.7351478338241577,824.5018920898438,441.7261047363281,937.97509765625,580.5283203125,881,580,2.3726823329925537,8.292767524719238,near
70,0.854299008846283,839.22314453125,293.0322570800781,949.2168579101562,480.6163635253906,894,480,2.3866920471191406,5.321596622467041,far
70,0.6851298809051514,783.4361572265625,464.2491149902344,913.585205078125,585.0029296875,848,585,2.1051125526428223,8.42124080657959,near
75,0.7743095755577087,844.507080078125,294.6856384277344,965.1234741210938,475.35150146484375,904,475,2.478102207183838,5.1483588218688965,far
80,0.8438649773597717,851.8672485351562,296.0636291503906,976.1592407226562,480.00860595703125,914,480,2.578917980194092,5.3217549324035645,far
80,0.292850136756897,741.2432250976562,491.57257080078125,905.536865234375,593.9081420898438,823,593,1.911278486251831,8.622504234313965,near
85,0.7923922538757324,866.994384765625,278.0548400878906,976.5493774414062,459.7356262207031,921,459,2.6314456462860107,4.575067520141602,far
85,0.6337032318115234,738.9514770507812,401.16278076171875,887.7294921875,750.0911865234375,813,750,2.046252727508545,11.838831901550293,near
85,0.4740215241909027,742.5730590820312,411.300537109375,873.8779907226562,634.2276611328125,808,634,1.8557398319244385,9.586671829223633,near
90,0.805854856967926,876.1565551757812,256.2849426269531,978.3840942382812,458.2958984375,927,458,2.69042706489563,4.538349151611328,far
90,0.7184411287307739,703.6121215820312,399.7259521484375,842.8418579101562,639.9571533203125,773,639,1.593855857849121,9.698891639709473,near
90,0.6693848967552185,709.6796875,396.97210693359375,838.2509765625,578.0239868164062,773,578,1.4701225757598877,8.24445629119873,near
95,0.7788254022598267,885.3212890625,248.99424743652344,992.7871704101562,447.5564270019531,939,447,2.8049395084381104,4.125403881072998,far
95,0.4727318584918976,655.4412231445312,346.9316101074219,828.9279174804688,574.315673828125,742,574,1.200893521308899,8.141425132751465,near
100,0.9265332818031311,874.2739868164062,262.3874816894531,1017.020263671875,446.74676513671875,945,446,2.8653573989868164,4.087252140045166,far
100,0.5212780237197876,642.1892700195312,423.62078857421875,809.8995971679688,576.2759399414062,726,576,1.0719389915466309,8.19399642944336,near
105,0.8726240396499634,869.1307983398438,271.916748046875,1016.6614990234375,443.4256896972656,942,443,2.8337128162384033,3.971468448638916,far
110,0.7939028739929199,850.012939453125,264.847412109375,1000.6290893554688,445.802978515625,925,445,2.6617257595062256,4.048264026641846,far
115,0.7655534148216248,831.6416625976562,251.17686462402344,978.1621704101562,446.15716552734375,904,446,2.4491963386535645,4.086147308349609,far
120,0.8895527720451355,817.7782592773438,253.62149047851562,959.8605346679688,440.1778564453125,888,440,2.2786755561828613,3.852935791015625,far
120,0.46296924352645874,682.5734252929688,477.9105224609375,836.143310546875,596.6747436523438,759,596,1.3946236371994019,8.698758125305176,near
120,0.32332199811935425,682.5157470703125,476.3328857421875,847.319580078125,677.2789916992188,764,677,1.5955647230148315,10.497279167175293,near
125,0.8869410753250122,808.4424438476562,256.32305908203125,947.9412231445312,434.7159729003906,878,434,2.1668283939361572,3.6150553226470947,far
125,0.7145658731460571,677.6571655273438,453.73199462890625,821.2395629882812,601.8819580078125,749,601,1.3247933387756348,8.821344375610352,near
125,0.3601601719856262,679.3927612304688,456.6606750488281,820.8453979492188,679.7510986328125,750,679,1.4964104890823364,10.537967681884766,near
130,0.8817703723907471,809.5714721679688,258.4429931640625,945.3270263671875,434.1997375488281,877,434,2.1564557552337646,3.615020513534546,far
130,0.7712903022766113,679.8765258789062,446.9422912597656,822.6610107421875,602.7868041992188,751,602,1.3432916402816772,8.845527648925781,near
